relative_file_path,filename,filesystem_modified,timezone,file_size_bytes,category,description
"experiments/blackhole/final_corrected_240s_540s/runs/BH_CONTROL_N16_SEED456789/COOJA.radio","COOJA.radio","2026-08-17 13:22:50","+0100",324744,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_CONTROL_N16_SEED456789/COOJA.testlog","COOJA.testlog","2026-08-17 13:22:50","+0100",217736,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_CONTROL_N16_SEED456789/console.log","console.log","2026-08-17 13:22:50","+0100",2439,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_CONTROL_N16_SEED567890/COOJA.radio","COOJA.radio","2026-08-17 13:23:10","+0100",326773,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_CONTROL_N16_SEED567890/COOJA.testlog","COOJA.testlog","2026-08-17 13:23:10","+0100",219705,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/runs/BH_CONTROL_N16_SEED567890/console.log","console.log","2026-08-17 13:23:10","+0100",2439,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/final_corrected_240s_540s/validation_summary.csv","validation_summary.csv","2026-08-17 13:26:02","+0100",1142,"CSV result","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_runs/BH_ATTACK_N16_SEED234567/COOJA.radio","COOJA.radio","2026-08-12 14:31:05","+0100",25704,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_runs/BH_ATTACK_N16_SEED234567/COOJA.testlog","COOJA.testlog","2026-08-12 14:31:05","+0100",69751,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_runs/BH_ATTACK_N16_SEED234567/console.log","console.log","2026-08-12 14:31:05","+0100",2856,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_runs/BH_ATTACK_N16_SEED345678/COOJA.radio","COOJA.radio","2026-08-12 14:31:24","+0100",26044,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_runs/BH_ATTACK_N16_SEED345678/COOJA.testlog","COOJA.testlog","2026-08-12 14:31:24","+0100",70514,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_runs/BH_ATTACK_N16_SEED345678/console.log","console.log","2026-08-12 14:31:24","+0100",2855,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_runs/BH_ATTACK_N16_SEED456789/COOJA.radio","COOJA.radio","2026-08-12 14:31:43","+0100",24722,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_runs/BH_ATTACK_N16_SEED456789/COOJA.testlog","COOJA.testlog","2026-08-12 14:31:43","+0100",68476,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_runs/BH_ATTACK_N16_SEED456789/console.log","console.log","2026-08-12 14:31:43","+0100",2855,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_runs/BH_ATTACK_N16_SEED567890/COOJA.radio","COOJA.radio","2026-08-12 14:32:00","+0100",25346,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_runs/BH_ATTACK_N16_SEED567890/COOJA.testlog","COOJA.testlog","2026-08-12 14:32:00","+0100",68420,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_runs/BH_ATTACK_N16_SEED567890/console.log","console.log","2026-08-12 14:32:00","+0100",2856,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_runs/BH_CONTROL_N16_SEED345678/COOJA.radio","COOJA.radio","2026-08-12 14:31:17","+0100",233774,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_runs/BH_CONTROL_N16_SEED345678/COOJA.testlog","COOJA.testlog","2026-08-12 14:31:17","+0100",157580,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_runs/BH_CONTROL_N16_SEED345678/console.log","console.log","2026-08-12 14:31:17","+0100",2853,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_runs/BH_CONTROL_N16_SEED456789/COOJA.radio","COOJA.radio","2026-08-12 14:31:36","+0100",230177,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_runs/BH_CONTROL_N16_SEED456789/COOJA.testlog","COOJA.testlog","2026-08-12 14:31:36","+0100",156120,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_runs/BH_CONTROL_N16_SEED456789/console.log","console.log","2026-08-12 14:31:36","+0100",2853,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_runs/BH_CONTROL_N16_SEED567890/COOJA.radio","COOJA.radio","2026-08-12 14:31:53","+0100",231588,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_runs/BH_CONTROL_N16_SEED567890/COOJA.testlog","COOJA.testlog","2026-08-12 14:31:53","+0100",157000,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_runs/BH_CONTROL_N16_SEED567890/console.log","console.log","2026-08-12 14:31:53","+0100",2853,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_test/BH_CONTROL_N16_SEED234567/COOJA.radio","COOJA.radio","2026-08-12 14:21:27","+0100",230260,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/headless_test/BH_CONTROL_N16_SEED234567/COOJA.testlog","COOJA.testlog","2026-08-12 14:21:27","+0100",157377,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/logs/BH_ATTACK_N16_SEED123456.log","BH_ATTACK_N16_SEED123456.log","2026-08-12 13:57:11","+0100",67417,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/logs/BH_ATTACK_N16_SEED123456_radio.log","BH_ATTACK_N16_SEED123456_radio.log","2026-08-12 13:58:39","+0100",92196,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/logs/BH_ATTACK_N16_SEED234567.log","BH_ATTACK_N16_SEED234567.log","2026-08-12 14:31:05","+0100",69751,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/logs/BH_ATTACK_N16_SEED234567_radio.log","BH_ATTACK_N16_SEED234567_radio.log","2026-08-12 14:31:05","+0100",25704,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/logs/BH_ATTACK_N16_SEED345678.log","BH_ATTACK_N16_SEED345678.log","2026-08-12 14:31:24","+0100",70514,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/logs/BH_ATTACK_N16_SEED345678_radio.log","BH_ATTACK_N16_SEED345678_radio.log","2026-08-12 14:31:24","+0100",26044,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/logs/BH_ATTACK_N16_SEED456789.log","BH_ATTACK_N16_SEED456789.log","2026-08-12 14:31:43","+0100",68476,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/logs/BH_ATTACK_N16_SEED456789_radio.log","BH_ATTACK_N16_SEED456789_radio.log","2026-08-12 14:31:43","+0100",24722,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/logs/BH_ATTACK_N16_SEED567890.log","BH_ATTACK_N16_SEED567890.log","2026-08-12 14:32:00","+0100",68420,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/logs/BH_ATTACK_N16_SEED567890_radio.log","BH_ATTACK_N16_SEED567890_radio.log","2026-08-12 14:32:00","+0100",25346,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/logs/BH_CONTROL_N16_SEED123456.log","BH_CONTROL_N16_SEED123456.log","2026-08-12 13:29:45","+0100",158184,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/logs/BH_CONTROL_N16_SEED123456_radio.log","BH_CONTROL_N16_SEED123456_radio.log","2026-08-12 13:31:26","+0100",737545,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/logs/BH_CONTROL_N16_SEED234567.log","BH_CONTROL_N16_SEED234567.log","2026-08-12 14:21:27","+0100",157377,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/logs/BH_CONTROL_N16_SEED234567_radio.log","BH_CONTROL_N16_SEED234567_radio.log","2026-08-12 14:21:27","+0100",230260,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/logs/BH_CONTROL_N16_SEED345678.log","BH_CONTROL_N16_SEED345678.log","2026-08-12 14:31:17","+0100",157580,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/logs/BH_CONTROL_N16_SEED345678_radio.log","BH_CONTROL_N16_SEED345678_radio.log","2026-08-12 14:31:17","+0100",233774,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/logs/BH_CONTROL_N16_SEED456789.log","BH_CONTROL_N16_SEED456789.log","2026-08-12 14:31:36","+0100",156120,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/logs/BH_CONTROL_N16_SEED456789_radio.log","BH_CONTROL_N16_SEED456789_radio.log","2026-08-12 14:31:36","+0100",230177,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/logs/BH_CONTROL_N16_SEED567890.log","BH_CONTROL_N16_SEED567890.log","2026-08-12 14:31:53","+0100",157000,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"experiments/blackhole/logs/BH_CONTROL_N16_SEED567890_radio.log","BH_CONTROL_N16_SEED567890_radio.log","2026-08-12 14:31:53","+0100",231588,"Experimental log","Blackhole/control experiment code, configuration, or evidence"
"rpl-icmp6_before_sinkhole_hook.c.backup","rpl-icmp6_before_sinkhole_hook.c.backup","2026-07-27 16:26:55","+0100",24475,"Historical source/config backup","Contiki-NG RPL ICMPv6 source or backup containing increase-rank/sinkhole evidence"
"rpl-udp-cooja.csc","rpl-udp-cooja.csc","2026-07-02 14:14:00","+0100",39225,"Experiment configuration","Cooja or test configuration"
"rpl-udp-sky.csc","rpl-udp-sky.csc","2026-07-02 14:14:00","+0100",10305,"Experiment configuration","Cooja or test configuration"
"rpl-udp.resc","rpl-udp.resc","2026-07-02 14:14:00","+0100",1567,"Experiment configuration","Cooja or test configuration"
"rpl-udp.robot","rpl-udp.robot","2026-07-02 14:14:00","+0100",4149,"Experiment configuration","Cooja or test configuration"
"silent-mote.c","silent-mote.c","2026-07-02 16:19:32","+0100",374,"Source code","C source implementation or source snapshot"
"udp-client.c","udp-client.c","2026-07-02 14:14:00","+0100",2787,"Source code","C source implementation or source snapshot"
"udp-server.c","udp-server.c","2026-07-02 14:14:01","+0100",3111,"Source code","C source implementation or source snapshot"
"uip6_before_blackhole_logging_fix.c.backup","uip6_before_blackhole_logging_fix.c.backup","2026-08-12 12:41:32","+0100",76900,"Historical source/config backup","Blackhole/control experiment code, configuration, or evidence"
